重安醫院    842高雄市旗山區大仁街18號
內政部少年之家 300新竹市崧嶺路181號
髓喜家園    820高雄市岡山區壽天路16-2號
花蓮縣政府   970花蓮縣花蓮市府前路17號
街友中途之家  401台中市東區玉皇街65號
高雄靈糧堂   813高雄市左營區保靖街40號
信義親子館   臺北市信義區松勤街50號A館
台東縣政府   950台東縣台東市中山路276號
嘉義市政府社會處    600嘉義市中山路199號
太平洋世界旅行社    台北市松江路82號4樓
新竹市政府社會局    300新竹市中正路120號
街友關懷中心  401台中市東區大公街四號
高雄靈糧堂   813高雄市左營區文川路157號
中華新時代協會 台北市民族西路169巷7號
中華民國槌球協會    台北市朱崙街20號907室
台南市一葉蘭同心會   台南市健康一街59號
桃園縣中齡會  320桃園縣中壢市中光路81號
玉里榮民醫院  981花蓮縣玉里鎮新興街91號
羅蘭青少年中心 701台南市東區裕和路61號
花蓮縣婦女會  970花蓮縣花蓮市復興街48號
花蓮縣老人會  970花蓮縣花蓮市公園路39號
中華民國婦女協會    台北市青島西路7號10樓
台中縣婦女會  420台中市豐原區東仁街138號
台東長老教會  950台東縣台東市廣東路329號
慈濟大學    970花蓮縣花蓮市中央路三段701號
成功護理之家  950台東縣台東市中山路276號
新竹市竹塹服務協會   300新竹市大同路131號
社團法人世界慈善會   600嘉義市蘭井街216號
私立修德康復之家    300新竹市天府路二段98號
金門縣大同之家 893金門縣金城鎮民生路72號
中華民國福壽會 235新北市中和區華新街149號
台南市愛羊協會 708台南市安平區郡平路246號
台灣國際老人福利總會  台北市酒泉街19號1樓
嘉義縣炬光協會 622嘉義縣大林鎮大美里170號
新港文教基金會 616嘉義縣新港鄉新中路305號
新竹縣婦女會  302新竹縣竹北市縣政二路101號
台中市街友關懷協會   401台中市東區大公街4號
基隆市政府社會處    202基隆市中正區義一路1號
快樂人生協會  704台南市北區實踐街39巷4弄9號
高雄市星星兒的家    823高雄市田寮區田寮路1號
鳳林榮民醫院  975花蓮縣鳳林鎮中正路一段2號
內政部台南教養院    731台南市後壁區後部里68號
台中縣政府社會處    420台中市豐原區陽明街36號
台南縣政府社會處    730台南市新營區民治路36號
宜蘭縣政府社會處    260宜蘭縣宜蘭市同慶街95號
彰化縣秀光慈善會    504彰化縣秀水鄉中山路99號
新北市立仁愛之家    207新北市萬里區玉田路61號
新竹市正化慈善服務協會 300新竹市田美1街3號
花蓮縣政府社會局    970花蓮縣花蓮市府前路17號
花蓮縣福利促進會    970花蓮縣花蓮市林榮街45號
親慈慈善會   243新北市泰山區明志路三段8號2樓
財團法人天主教會台北教區    台北市樂利路94號
中華民國卓越台灣協進會 600嘉義市公明路217號
內政部雲林教養院    630雲林縣斗南鎮忠孝路157號
台中市土風舞協會    402台中市南區信義南街276號
台南市養生文教協會   702台南市南區新都路482號
台東縣政府社會處    950台東縣台東市中山路276號
張秀菊基金會  406台中市北屯區崇德路三段938號
彰化縣慈化慈善會    522彰化縣田尾鄉民權路482號
彰化縣政府社會處    500彰化縣彰化市中興路100號
新竹市愛聾成長協進會  300新竹市大同路133號B4F
財團法人嘉義基督教醫院 600嘉義市忠孝路539號
財團法人天主教聖言會  600嘉義市吳鳳南路268號
迦南康復之家  545南投縣埔里鎮中山路一段182號
高雄縣大樹鄉五色鳥愛鄉協會   840高雄市大樹區
高雄縣褓姆協會 830高雄市鳳山區國富路34號1樓
鹿野苑關懷之家 713台南市左鎮區左鎮村91之2號
南投縣婦幼協會 540南投縣南投市南陽路343號5樓
嘉義縣婦女會  613嘉義縣朴子市祥和一路西段2號
嘉義縣新知婦女協會   613嘉義縣朴子市平和路7號
桃園縣祥和協會 330桃園縣桃園市仁愛路123巷3號
