福茂彩券行   雲林縣斗六市榴中里石榴路２２２之１５號１樓
亮金金彩券行   新北市淡水區大忠街１４號
興安商行   台北市中山區興安街１０５號１樓
壹本萬利投注站   新北市淡水區自強路６０號
瑞寶祥彩券行   桃園市桃園區文化里１４鄰民族路４０號１樓
金銀島投注站   新北市土城區明峯街３０號１樓
日向創藝坊   桃園市八德區大同里福國北路９６號１樓
府中洺元彩券行   新北市板橋區府中路１１４號１樓
大智彩券行   台中市東區振興里大智路８２號１樓
飛來旺彩券行   桃園市平鎮區復興里文化街３３號１樓
好多全彩券行   新北市板橋區民生路三段４８號１樓
萬財寶彩券行   新北市鶯歌區尖山路１４３號
紅中彩券行   新竹市東區仙水里光復路一段４７７號一樓
利吉巿彩券行   台中市東勢區新盛里東關路６４０之３號１樓
金幸運賓果彩券行   台北市大同區酒泉街３２之１號
鑫億來投注站   彰化縣彰化市西安里曉陽路１９０號１樓
金財神彩券行   新北市三峽區民權街１號
金國裕彩券行   台北市中正區濟南路二段７３號
興旺投注站   桃園市中壢區中興里永福路７７０號１樓
珍旺彩券行   屏東縣高樹鄉高樹村南興路１８６號
樂穎彩券行   台中市北屯區三光里北屯路２９５號１號
旺來旺彩券行   台中市北區六合里中華西街１４７號１樓
穩當中彩券行   台北市士林區延平北路五段１５４號
飛來億商行   桃園市桃園區中原里宏昌六街１４５號１樓
金贊彩券行   高雄市苓雅區林西街１１３號
一定發彩券行   南投縣南投市仁和里彰南路二段６４號一樓
匯星彩券行   高雄市鳳山區五甲三路３１號１樓
尚鼎彩券行   嘉義市東區太平里新生路６０５號
飛來億商行   桃園市桃園區中原里宏昌六街１４５號１樓
禧旺商行   台北市松山區長春路４２４號
八大公益彩券行   台南市新市區新和里民生路４７號１樓
億直來彩券行   高雄市鼓山區裕誠路１１２１號
福神到彩券行   新北市中和區民樂路６８號
真福氣投注站   彰化縣田中鎮南路里員集路二段３３６號１樓
薪來發彩券行   台中市西屯區大福里大鵬路２９－４號１樓
億生富貴彩券行   雲林縣台西鄉臺西村民生路７號１樓
運來發彩券行   苗栗縣竹南鎮龍鳳里龍山路１段２１７號１樓
佳得企業社   屏東縣屏東市自由路７３２號
亮亮彩券行   台中市北屯區河北路二段６４號１樓
六億彩券行   宜蘭縣南澳鄉蘇花路二段３５９號
碧盛商行   台北市萬華區雙和街６９號
一夜富彩券行   金門縣金城鎮東門里民族路２４８號
得富彩券行   高雄市左營區崇德路４０７號
一值發商行   台中市北區淡溝里民權路４７２之２號１樓
億來彩券行   新北市金山區中山路２０１號
財武彩券行   屏東縣佳冬鄉玉光村中山路１１３號１樓
佰禾彩券行   台中市南屯區三義里河南路四段２４８號１樓
