台灣彩券(金財元企業社)	新北市林口區仁愛路二段257號
台灣彩券(愛樂群行)	新北市中和區中正路462號
台灣彩券(富利發彩券行)	屏東縣潮州鎮中山路45號
台灣彩券(旺旺發商行)	新北市板橋區文聖街20號
台灣彩券(大富翁商行)	新竹市北區東大路四段3號
運動彩券(金沙商行)	台中市北區漢口路四段82之7號
台灣彩券(傳發興業社)	新北市三峽區民生街108號
台灣彩券(富城彩券行)	台北市大安區大安路一段42號
運動彩券(德安企業社)	桃園市八德區永福西街68之3號
台灣彩券(雙福彩券行)	台中市潭子區勝利六街2號
台灣彩券(寶君賺彩券行)	台北市大安區四維路170巷51號
一路發	澎湖縣馬公市樹德路5號
台灣彩券(銘澤商行)	雲林縣莿桐鄉中正路78號
台灣彩券(百家樂行)	台北市中正區武昌街一段36號
台灣彩券(今翻身彩券行)	台南市中西區永福路二段59號
台灣彩券(旺旺勝利電腦彩券行)	台北市大安區樂利路47號
台灣彩券(鴻慶彩券行)	台中市和平區瑞雪巷4號
齊勝運動彩券行	新竹市東區建功一路186號
台灣彩券(冠鴻電腦彩券投注站)	桃園市中壢區福州二街406之1號
台灣彩券(金連發彩券行)	台中市豐原區中正路283號
台灣彩券(豪運發投注行)	新北市土城區立德路46號
運動彩券(穩財發運彩彩券行)	新北市土城區立德路46號
台灣彩券(正大發彩券行)	台北市萬華區國興路42號
台灣彩券(財旺彩券行)	新北市土城區立德路32號
寶立發彩券行(原:連來發)	台中市大里區東榮路479號
台灣彩券(柏崴彩券行)	彰化縣員林鎮新義街193號
台灣彩券(金寶發彩券行)	台中市后里區三豐路38之8號
運動彩券(日新商行)	台中市西屯區西屯路二段295之1號
台灣彩券(買得旺彩券行)	台南市中西區西門路二段66號
台灣彩券(富麗發投注站)	台北市北投區實踐街76號
台灣彩券(賀彩商行)	台北市中山區民權東路二段92巷1弄2號
台灣彩券(喜年來投注站)	台北市文山區興隆路二段143號
台灣彩券(得來富彩券行)	新北市鶯歌區中正一路330巷1號
台灣彩券(仁大菸酒商行)	高雄市大寮區大寮路509號
台灣彩券(伍星彩券行)	台中市沙鹿區沙田路53之2號
台灣彩券(良福投注站)	台北市士林區中正路633號
台灣彩券(寶彩西服社)	高雄市三民區鼎中路379號
台灣彩券(三兆彩券行)	台北市內湖區安康路446號
台灣彩券(彩虹彩券行)	台南市東區崇學路271之12號
台灣彩券(玉盈彩券行)	新竹縣新豐鄉建興路一段187之2號
台灣彩券(寰宇彩券行)	台北市大安區通化街26號
台灣彩券(三福公益彩券經銷行)	新北市樹林區鎮前街299號
台灣彩券(詠姿商行)	台中市西屯區長安路二段171號
運動彩券(通盈彩商行)	新竹縣湖口鄉中華路68號
台灣彩券(天津投注站)	台北市中山區天津街30號
台灣彩券(信望愛彩券行)	台中市北屯區遼寧路一段610號
台灣彩券(宜宏商行)	宜蘭縣礁溪鄉礁溪路四段85號
台灣彩券(金庫彩券行)	新北市土城區學成路32號
台灣彩券(億萬發彩券行)	台北市中正區羅斯福路一段11號
台灣彩券(現代男性投注站)	花蓮縣花蓮市和平路627號
台灣彩券(永在發彩券行)	台北市中正區南昌路一段90號
台灣彩券(順億商行)	雲林縣斗南鎮北辰路1號
台灣彩券(龍元投注站)	桃園市龍潭區龍元路55號
運動彩券(十成商行)	台中市大甲區中山路一段1223號
台灣彩券(連捷投注站)	基隆市中正區新豐街251巷5弄40號
台灣彩券(春光商行)	台北市中山區北安路813號
台灣彩券(佰億彩券行)	台南市安南區海環街36號
台灣彩券(金利多彩券行)	台南市北區北園街36號
台灣彩券(六星旗艦商行)	台北市大同區承德路一段31號
台灣彩券(金大旺商行)	台北市中正區杭州南路一段115號
台灣彩券(袁進彩券商行)	台北市中正區羅斯福路四段24巷14之1號
台灣彩券(喜上門西服社)	高雄市楠梓區楠梓路134號
台灣彩券(吉時發彩券行)	新北市三重區力行路二段155號
台灣彩券(天天中彩券行)	台北市北投區中和街209號
台灣彩券(嘉德商店)	桃園市桃園區福林街8號
台灣彩券(宏發財公益彩券行)	新北市新莊區中正路929巷22號
台灣彩券(啟美電腦彩券)	台南市東區林森路二段127號
運動彩券(八百勝彩券行)	新北市永和區保平路188號
台灣彩券(君樂商行)	台中市北區永興街196號
台灣彩券(金源彩券行)	南投縣竹山鎮大明路255號
台灣彩券(明佳商行)	新竹市北區經國路二段243號
台灣彩券(好運來商行)	高雄市鼓山區九如四路1530號
運動彩券(玉英運動彩券行)	屏東縣屏東市中正路558號
台灣彩券(長春彩券行)	雲林縣斗六市長春路37號
台灣彩券(快樂宮彩券行)	新北市中和區新生街17之1號
運動彩券(冠天下商行)	桃園市觀音區大觀路二段9號
運動彩券(水生運彩行)	新北市中和區民德路135號
台灣彩券(得億彩券行)	新北市板橋區大仁街120號
台灣彩券(第一彩券行)	台北市大同區延平北路二段195之1號
台灣彩券(立來旺商行)	新北市三重區六張街95號
台灣彩券(仟運企業社)	桃園市觀音區中山路二段753號
台灣彩券(包和旺商行)	台北市信義區永吉路120巷89號
台灣彩券(金吉成企業社)	台南市善化區大成路346號
台灣彩券(維美攝影社)	嘉義縣中埔鄉中山路五段842號
台灣彩券(連昌雜貨行)	宜蘭縣蘇澳鎮中山路一段262號
台灣彩券(玖拾巷投注行)	新北市板橋區中山路二段90巷1號
台灣彩券(弘運彩券行)	新北市中和區信義街113號
台灣彩券(永發行)	屏東縣恆春鎮南門路39號
運動彩券(樂和彩券行)	高雄市鳳山區五甲三路31號
台灣彩券(頭獎來企業社)	桃園市龜山區復興一路129號
台灣彩券(旺旺來投注站)	屏東縣屏東市中正路163號
台灣彩券(六星高照商行)	台北市大同區太原路56號
台灣彩券(芝慧商行)	台南市永康區永大路二段1170號
台灣彩券(旺宏投注站)	新竹縣寶山鄉明湖路63號
台灣彩券(金牌投注站)	台北市北投區明德路331巷1號
台灣彩券(開頭獎彩券行)	高雄市三民區澄清路457號
運升彩券行	南投縣中寮鄉永安街55號
台灣彩券(億易發企業行)	高雄市鳳山區建國路三段207號
台灣彩券(一六八彩券行)	嘉義市西區民族路603號
台灣彩券(泉知源行)	新北市淡水區大忠街25號
台灣彩券(金雞母商行)	桃園市桃園區莊敬路一段196號
台灣彩券(龍翊投注站)	花蓮縣吉安鄉中山路二段124號
台灣彩券(佳鑫彩券行)	新北市板橋區龍興街53號
台灣彩券(博亦通彩券行)	新北市新莊區五工二路86巷2號
運動彩券(興發彩券行)	新北市土城區延吉街76號
台灣彩券(得福商行)	台中市北區三民路三段317號
台灣彩券(康奇企業社)	台北市松山區光復南路59號
台灣彩券(祥富彩券行)	雲林縣虎尾鎮光復路595號
運動彩券(一路發運動彩券行)	台東縣台東市中華路一段191號
台灣彩券(中信樂彩便利商店)	台北市北投區東華街二段166號
運動彩券(宗來彩券行)	台中市南區正氣街62號
台灣彩券(袁進彩券商行)	台北市中正區羅斯福路四段24巷14之1號
台灣彩券(喜上門西服社)	高雄市楠梓區楠梓路134號
台灣彩券(吉時發彩券行)	新北市三重區力行路二段155號
台灣彩券(天天中彩券行)	台北市北投區中和街209號
台灣彩券(嘉德商店)	桃園市桃園區福林街8號
台灣彩券(宏發財公益彩券行)	新北市新莊區中正路929巷22號
台灣彩券(啟美電腦彩券)	台南市東區林森路二段127號
運動彩券(八百勝彩券行)	新北市永和區保平路188號
台灣彩券(君樂商行)	台中市北區永興街196號
運動彩券(道奇商行)	南投縣魚池鄉魚池街347號
運動彩券(穩中發運動彩券行)	桃園市龍潭區中興路591號
台灣彩券(阿拉丁彩券行)	嘉義縣太保市中山路一段582號
台灣彩券(高順商店)	台北市中山區中原街134號
台灣彩券(裕彩商行)	雲林縣北港鎮中正路78號
台灣彩券(禧來發彩券行)	新北市新莊區中港一街18號
運動彩券(運彩得富行)	新北市板橋區中山路二段90巷25號
台灣彩券(八六八彩券行)	彰化縣大村鄉大溪路4之1號
運動彩券(鴻運商店)	嘉義縣民雄鄉建國路一段107號
台灣彩券(耐博利企業社)	台北市內湖區內湖路二段98號
